,Dormitorios,Baños,Garajes,M² edificados,Tipo de Propiedad,Estado,Zona_macro,Precio
0,3.0,2.0,0.0,120.0,Casa,Excelente estado,Otros,150000.0
1,4.0,3.0,0.0,124.0,Casa,Buen estado,Lima Norte,150000.0
2,4.0,3.0,1.0,165.0,Casa,Buen estado,Lima Centro,300000.0
3,4.0,3.0,1.0,450.0,Casa,Excelente estado,Lima Centro,540000.0
4,5.0,3.0,2.0,460.0,Casa,Buen estado,Lima Centro,560000.0
5,3.0,3.0,2.0,365.0,Casa,Otro,Lima Sur,395000.0
6,5.0,3.0,1.0,160.0,Casa,Buen estado,Lima Centro,240000.0
7,3.0,3.0,1.0,220.0,Casa,Buen estado,Lima Norte,300000.0
8,5.0,3.0,0.0,210.0,Casa,Buen estado,Callao,124990.0
9,4.0,3.0,2.0,300.0,Casa,Buen estado,Lima Centro,980000.0
10,4.0,3.0,1.0,268.0,Casa,Buen estado,Lima Sur,1725000.0
11,4.0,3.0,1.0,240.0,Casa,Otro,Lima Centro,320000.0
12,5.0,3.0,2.0,641.0,Casa,Buen estado,Lima Centro,780000.0
13,5.0,3.0,1.0,200.0,Casa,Buen estado,Lima Norte,340000.0
14,4.0,3.0,2.0,266.0,Casa,Excelente estado,Lima Centro,650000.0
15,5.0,3.0,1.0,400.0,Casa,Excelente estado,Lima Este,420000.0
16,5.0,3.0,1.0,200.0,Casa,Buen estado,Lima Sur,380000.0
17,3.0,3.0,1.0,240.0,Casa,Buen estado,Lima Centro,520000.0
18,4.0,2.0,1.0,265.0,Casa,Buen estado,Lima Centro,220000.0
19,5.0,3.0,1.0,173.0,Casa,Buen estado,Lima Sur,240000.0
20,3.0,3.0,3.0,523.0,Casa,Otro,Lima Centro,1200000.0
21,3.0,3.0,1.0,125.0,Casa,Excelente estado,Lima Centro,195000.0
22,5.0,3.0,0.0,343.0,Casa,Buen estado,Lima Norte,160000.0
23,2.0,2.0,3.0,130.0,Casa,Otro,Lima Centro,510000.0
24,5.0,3.0,1.0,363.0,Casa,Excelente estado,Lima Sur,250900.0
25,5.0,3.0,1.0,500.0,Casa,Excelente estado,Lima Sur,1500000.0
