URL,Precio,Referencia,Zona,Disposición,M² edificados,M² del terreno,Dormitorios,Plantas,Barrio Privado,Acepta permuta,Tipo de Propiedad,Estado,Baños,M² de terraza,Año de Construcción,Garajes,Sobre,Cuota inicial,Vivienda Social
https://www.infocasas.com.pe/vendo-casa-de-playa-amoblada-asia-del-mar-sarapampa-ac130mt/191221321,U$S 150.000,WFDBD0,Asia,No aplica,120 m2,130 m2,3,1,,,Casa,Excelente estado,2,,,,No aplica,,
https://www.infocasas.com.pe/vendo-hermosa-casa-de-3-pisos-comas/192540025,U$S 150.000,P8DE95,Comas,Al frente,124 m2,250 m2,4,3,,,Casa,Buen estado,3,,2012,,Avenida,,
https://www.infocasas.com.pe/vendo-estupenda-casa-primer-piso-con-frente-avenida/190925992,U$S 300.000,Q164FD,Pueblo Libre,Al frente,165 m2,217 m2,4,1,,,Casa,Buen estado,3,,58,1,No aplica,,
https://www.infocasas.com.pe/vendo-casa-en-la-molina-alameda-del-corregidor/192008480,U$S 540.000,P8E1BB,La Molina,Al frente,450 m2,300 m2,4,3,,,Casa,Excelente estado,3,,2022,1,No aplica,,
https://www.infocasas.com.pe/vendo-casa-292-m2-en-san-borja-norte/191936403,U$S 560.000,JAC858,San Borja,Al frente,460 m2,291 m2,5,3,,,Casa,Buen estado,3,,1974,2,No aplica,,
https://www.infocasas.com.pe/vendo-casa-por-remodelar-marsano-con-ayacucho/192439304,U$S 395.000,GA9DA1,Santiago De Surco,Al frente,365 m2,167 m2,3,2,,,Casa,Requiere mantenimiento,3,40 m2,1980,2,Otros,,
https://www.infocasas.com.pe/vendo-casa-160-m2-6-dormitorios-san-miguel/192567144,U$S 240.000,RA47E8,San Miguel,Al frente,160 m2,160 m2,5,1,,,Casa,Buen estado,3,160 m2,1980,1,No aplica,,
https://www.infocasas.com.pe/vendo-casa-ubicada-frente-a-parque-en-los-olivos/192231470,U$S 300.000,WEDD82,Los Olivos,Al frente,220 m2,160 m2,3,3,,,Casa,Buen estado,3,,1986,1,Otros,,
https://www.infocasas.com.pe/vendo-casa-de-3-pisos-azotea-10dorm-urb-las-malvas-callao/192560538,U$S 124.990,J960A1,Cercado del Callao,Al frente,210 m2,90 m2,5,3,,,Casa,Buen estado,3,60 m2,2010,,Avenida,,
https://www.infocasas.com.pe/vendo-hermosa-casa-con-piscina-en-san-isidro-at/185986355,U$S 980.000,06D6B,San Isidro,Al frente,300 m2,300 m2,4,2,,,Casa,Buen estado,3,100 m2,1980,2,Otros,,
https://www.infocasas.com.pe/vendo-departamento-268-m2-tres-dormitorios/191669809,S/ 1.725.000,H36775,Santiago De Surco,No aplica,268 m2,268 m2,4,1,,,Casa,Buen estado,3,,,1,No aplica,,
https://www.infocasas.com.pe/vendo-casa-san-miguel/191125082,U$S 320.000,Z7E908,San Miguel,Al frente,240 m2,154 m2,4,3,,,Casa,Requiere mantenimiento,3,25 m2,1987,1,Avenida,,
https://www.infocasas.com.pe/vendo-excelente-casa-ubicada-en-magdalena-limite-con-san-isidro/190651230,U$S 780.000,W4B35D,Magdalena Del Mar,Al frente,641 m2,378 m2,5,3,,,Casa,Buen estado,3,,,2,Otros,,
https://www.infocasas.com.pe/vendo-casa-de-200-m2-en-covima-primera-etapa-los-olivos/191640503,U$S 340.000,TC890C,Los Olivos,Al frente,200 m2,200 m2,5,2,,,Casa,Buen estado,3,15 m2,1980,1,No aplica,,
https://www.infocasas.com.pe/vendo-hermosa-casa-con-vista-al-mar-en-san-isidro/185821007,U$S 650.000,B01F5,San Isidro,Al frente,266 m2,180 m2,4,3,,,Casa,Excelente estado,3,80 m2,1981,2,Otros,,
https://www.infocasas.com.pe/vendo-hermosa-casa-en-california-chaclacayo/192021239,U$S 420.000,Q24850,Chaclacayo,Interior,400 m2,1 m2,5,1,,,Casa,Excelente estado,3,80 m2,1980,1,No aplica,,
https://www.infocasas.com.pe/vendo-casa-de-200-m2-de-tres-pisos-6-dormitorios-vista-parque-en-surco/190793374,U$S 380.000,UB03CE,Santiago De Surco,Al frente,200 m2,200 m2,5,2,,,Casa,Buen estado,3,200 m2,1980,1,No aplica,,
https://www.infocasas.com.pe/vendo-casa-de-240-m2-en-avenida-canada-zona-comercial/191851836,U$S 520.000,E48B2D,La Victoria,No aplica,240 m2,240 m2,3,1,,,Casa,Buen estado,3,240 m2,1980,1,No aplica,,
https://www.infocasas.com.pe/vendo-casa-4-dormit-doble-frente-potencial-4-pisos-en-brena-at170m2/191907138,U$S 220.000,H83631,Breña,Al frente,265 m2,170 m2,4,2,,,Casa,Buen estado,2,15 m2,1966,1,Otros,,
https://www.infocasas.com.pe/vendo-casa-de-173-m2-dos-pisos-en-chorrillos-vista-parque/191762843,U$S 240.000,J5F612,Chorrillos,Al frente,173 m2,173 m2,5,1,,,Casa,Buen estado,3,173 m2,,1,No aplica,,
https://www.infocasas.com.pe/vendo-casa-de-604-m2-en-san-isidro/191814138,U$S 1.200.000,N98E13,San Isidro,No aplica,523 m2,603 m2,3,1,,,Casa,Requiere mantenimiento,3,523 m2,1980,3,No aplica,,
https://www.infocasas.com.pe/vendo-departamento-en-1er-piso-2-cuadras-del-cruce-san-borja-sur-con-aviacion/192468989,U$S 195.000,OD1FFE,San Borja,Al frente,125 m2,125 m2,3,1,,,Casa,Excelente estado,3,,1994,1,Rambla,,
