URL,Precio,Referencia,Zona,Disposición,M² edificados,M² del terreno,Dormitorios,Plantas,Barrio Privado,Acepta permuta,Tipo de Propiedad,Estado,Baños,M² de terraza,Año de Construcción,Garajes,Sobre,Cuota inicial,Vivienda Social
https://www.infocasas.com.pe/vendo-espectacular-penthouse-con-azotea-privada/192545274,U$S 950.000,ZCA7CA,San Isidro,Interior,569 m2,,3,1,,,Departamento,Excelente estado,3,,48,2,No aplica,,
https://www.infocasas.com.pe/vendo-exclusivo-de-estreno-departamento-en-miraflores-jardin-privado-y-ubicacion-perfecta/192014554,U$S 299.000,L33BCA,Miraflores,Al frente,122 m2,,3,1,,,Departamento,A estrenar,2,,,2,No aplica,,
https://www.infocasas.com.pe/vendo-dpto-3-dorm-jesus-maria-4to-piso-calle-rio-de-janeiro-con-ascensor/192439323,U$S 133.000,T70FD0,Jesus Maria,Interior,84 m2,,3,1,,,Departamento,Excelente estado,2,,2014,,Otros,,
https://www.infocasas.com.pe/vendo-departamento-duplex-piso-1-2-amplios-dormitorios-con-estacionamiento/192560928,U$S 220.000,R937CB,Santiago De Surco,Al frente,143 m2,,2,2,,,Departamento,Excelente estado,2,,2015,1,Rambla,,
https://www.infocasas.com.pe/vendo-departamento-en-la-molina-la-ensenada/191932499,U$S 189.000,U022C4,La Molina,Al frente,125 m2,,3,3,,,Departamento,Buen estado,1,51 m2,2004,2,No aplica,,
https://www.infocasas.com.pe/vendo-duplex-en-el-condominio-el-nuevo-rancho-de-miraflores/192232644,U$S 580.000,SF3BFC,Miraflores,Al frente,2.645 m2,,3,2,,,Departamento,A estrenar,3,18 m2,2013,3,No aplica,,
https://www.infocasas.com.pe/vendo-departamento-en-los-tusilagos-sj-lurigancho/192108355,U$S 65.000,HAD822,San Juan De Lurigancho,Al frente,59 m2,,3,3,,,Departamento,Buen estado,1,,1983,,No aplica,,
https://www.infocasas.com.pe/vendo-departamento-de-82-m2-con-balcon-con-vista-a-la-calle-en-lince/190525556,U$S 169.000,R20575,Miraflores,Al frente,82 m2,,2,3,,,Departamento,Buen estado,2,82 m2,2014,1,No aplica,,
https://www.infocasas.com.pe/vendo-departamento-de-103-m2-en-28-julio-346-miraflores/192024213,U$S 220.000,SE28A3,Miraflores,Al frente,103 m2,,3,1,,,Departamento,Buen estado,3,103 m2,2015,2,No aplica,,
https://www.infocasas.com.pe/vendo-departamento-en-golf-los-andes-nana/192147890,S/ 198.000,ZBE931,Chosica,Interior,69 m2,,3,3,,,Departamento,A estrenar,2,10 m2,2018,,No aplica,,
https://www.infocasas.com.pe/vendo-departamento-en-santo-domingo-de-carabayllo/192131518,U$S 63.000,K248EA,Carabayllo,Al frente,109 m2,,3,3,,,Departamento,Excelente estado,2,5 m2,2018,1,Avenida,,
https://www.infocasas.com.pe/vendo-departamento-de-estreno-frente-a-parque-03-dormitorios-todos-con-bano/192353389,U$S 420.000,YB0323,Miraflores,Al frente,157 m2,,3,1,,,Departamento,A estrenar,3,,,2,No aplica,,
https://www.infocasas.com.pe/vendo-departamento-de-93m2-estac-javier-prado-oeste-magdalena/191841703,U$S 148.000,A431D6,Magdalena Del Mar,No aplica,93 m2,,2,1,,,Departamento,Excelente estado,2,,2011,1,No aplica,,
https://www.infocasas.com.pe/vendo-departamento-ascensor-directo-av-cristobal-de-peralta-surco-vcalle/192439409,U$S 218.000,OBB955,Santiago De Surco,Al frente,130 m2,,3,1,,,Departamento,Excelente estado,3,,2015,,Avenida,,
https://www.infocasas.com.pe/vendo-duplex-en-monterrico-dorm-cochera/191163794,S/ 494.000,Z8CB25,Santiago De Surco,No aplica,113 m2,,3,,,,Departamento,Buen estado,2,,,1,No aplica,,
https://www.infocasas.com.pe/vendo-departamento-con-cochera-en-paseo-la-castellana/191199264,S/ 829.560,H5C869,Santiago De Surco,No aplica,118 m2,,3,,,,Departamento,Buen estado,3,,,1,No aplica,,
